,ASV_Original,ASV_Paraphrased,BBE_Original
0,"And the ark of Jehovah was in the country of the Philistines seven months. 
","seven months ago, the ark of Jehovah was in the country of the Philistines.","Now the ark of the Lord was in the country of the Philistines for seven months.
"
1,"And the Philistines called for the priests and the diviners, saying, What shall we do with the ark of Jehovah? show us wherewith we shall send it to its place. 
","the Philistians called the priests and the diviners, and they asked, What will we do with the ark of God?","And the Philistines sent for the priests and those who were wise in secret arts, and said to them, What are we to do with the ark of the Lord? How are we to send it away to its place?
"
2,"And they said, If ye send away the ark of the God of Israel, send it not empty; but by all means return him a trespass-offering: then ye shall be healed, and it shall be known to you why his hand is not removed from you. 
","if you leave the ark of God, send it back, but by all means, return him to the altar:","And they said, If you send away the ark of the God of Israel, do not send it without an offering, but send him a sin-offering with it: then you will have peace again, and it will be clear to you why the weight of his hand has not been lifted from you.
"
3,"Then said they, What shall be the trespass-offering which we shall return to him? And they said, Five golden tumors, and five golden mice, according to the number of the lords of the Philistines; for one plague was on you all, and on your lords. 
","and they said, What will the offering be to the Lord of the Philistines?","Then they said, What sin-offering are we to send to him? And they said, Five gold images of the growths caused by your disease and five gold mice, one for every lord of the Philistines: for the same disease came on you and on your lords.
"
4,"Wherefore ye shall make images of your tumors, and images of your mice that mar the land; and ye shall give glory unto the God of Israel: peradventure he will lighten his hand from off you, and from off your gods, and from off your land. 
","you will make images of your tumor, and images of your mice that will destroy the land; and you will be honored by God's name: Peradventure he will be lifted from you, and from the gods.","So make images of the growths caused by your disease and of the mice which are damaging your land; and give glory to the God of Israel: it may be that the weight of his hand will be lifted from you and from your gods and from your land.
"
5,"Wherefore then do ye harden your hearts, as the Egyptians and Pharaoh hardened their hearts? When he had wrought wonderfully among them, did they not let the people go, and they departed? 
","then the Egyptians and Pharaoh hardened their hearts, and the people fled?","Why do you make your hearts hard, like the hearts of Pharaoh and the Egyptians? When he had made sport of them, did they not let the people go, and they went away?
"
6,"Now therefore take and prepare you a new cart, and two milch kine, on which there hath come no yoke; and tie the kine to the cart, and bring their calves home from them; 
","then take the cart, and the two-pound kine, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and the cart, and","So now, take and make ready a new cart, and two cows which have never come under the yoke, and have the cows yoked to the cart, and take their young ones away from them:
"
7,"and take the ark of Jehovah, and lay it upon the cart; and put the jewels of gold, which ye return him for a trespass-offering, in a coffer by the side thereof; and send it away, that it may go. 
","take the ark of Jehovah, and lay it on the cart; and take the gold, which you will return him to the altar; and send him away, that he may be taken away.","And put the ark of the Lord on the cart, and the gold images which you are sending as a sin-offering in a chest by its side; and send it away so that it may go.
"
8,"And see; if it goeth up by the way of its own border to Beth-shemesh, then he hath done us this great evil: but if not, then we shall know that it is not his hand that smote us; it was a chance that happened to us.
","if he goes to Beth-shemesh, then he's done us a great evil; but if not, then we'll know it's not his hand.","If it goes by the land of Israel to Beth-shemesh, then this great evil is his work; but if not, then we may be certain that the evil was not his doing, but was the working of chance.
"
9,"And the men did so, and took two milch kine, and tied them to the cart, and shut up their calves at home; 
","they took two milch kine, tied to the cart, and shut up in the house;","And the men did so; they took two cows, yoking them to the cart and shutting up their young ones in their living-place:
"
10,"and they put the ark of Jehovah upon the cart, and the coffer with the mice of gold and the images of their tumors. 
","they put the cart on the cart, the cart with the gold and the gold-colored mice, the gold-colored mice, the gold-colored mice.","And they put the ark of the Lord on the cart and the chest with the gold images.
"
11,"And the kine took the straight way by the way to Beth-shemesh; they went along the highway, lowing as they went, and turned not aside to the right hand or to the left; and the lords of the Philistines went after them unto the border of Beth-shemesh. 
","the kine turned to Beth-shemesh, and they rode down the road, and they turned to the left, not to the right.","And the cows took the straight way, by the road to Beth-shemesh; they went by the highway, not turning to the right or to the left, and the sound of their voices was clear on the road; and the lords of the Philistines went after them as far as the edge of Beth-shemesh.
"
12,"And they of Beth-shemesh were reaping their wheat harvest in the valley; and they lifted up their eyes, and saw the ark, and rejoiced to see it. 
","they saw the ark, and they were happy to see it, and they looked up, and they saw the ark, and they were happy to see it.","And the people of Beth-shemesh were cutting their grain in the valley, and lifting up their eyes they saw the ark and were full of joy when they saw it.
"
