,YLT_Original,YLT_Paraphrased,DRA_Original
0,"And the ark of Jehovah is in the field of the Philistines seven months,
","seven months ago, the ark of Jehovah was in the field of the Philistians.","Now the ark of God was in the land of the Philistines seven months.
"
1,"and the Philistines call for priests and for diviners, saying, `What do we do to the ark of Jehovah? let us know wherewith we send it to its place?'
","""what do we do with the ark of Jehovah?"" The Philistines ask, ""What do we do with the ark?""","And the Philistines called for the priests and the diviners, saying: What shall we do with the ark of the Lord? tell us how we are to send it back to its place? And they said:
"
2,"And they say, `If ye are sending away the ark of the God of Israel, ye do not send it away empty; for ye do certainly send back to Him a guilt-offering; then ye are healed, and it hath been known to you why His hand doth not turn aside from you.'
","""if you're sending the ark of God, you don't send it away empty; for you're sure to send it back to God; then you'll be healed, and it's all right.""","If you send back the ark of the God of Israel, send it not away empty, but render unto him what you owe for sin, and then you shall be healed: and you shall know why his hand departeth not from you.
"
3,"And they say, `What  the guilt-offering which we send back to Him?' and they say, `The number of the princes of the Philistines -- five golden emerods, and five golden mice -- for one plague  to you all, and to your princes,
","""what is the price of the Philistines - five gold emeralds, five gold mice - for one plague?"" And they say, ""What's the price of the Philistines - five gold mice?""","They answered: What is it we ought to render unto him for sin? and they answered:
"
4,"and ye have made images of your emerods, and images of your mice that are corrupting the land, and have given honour to the God of Israel; it may be He doth lighten His hand from off you, and from off your gods, and from off your land;
","you've made images of your emerods, and images of your mice that destroy the land, and they're honored by God.","According to the number of the provinces of the Philistines you shall make five golden emerods, and five golden mice: for the same plague hath been upon you all, and upon your lords. And you shall make the likeness of your emerods, and the likeness of the mice that have destroyed the land, and you shall give glory to the God of Israel: to see if he will take off his hand from you, and from your gods, and from your land.
"
5,"and why do ye harden your heart as the Egyptians and Pharaoh hardened their heart? do they not -- when He hath rolled Himself upon them -- send them away, and they go?
","when He rolled himself on them, and they were hardening their hearts, did they not -- when He rolled himself on them?","Why do you harden your hearts, as Egypt and Pharao hardened their hearts? did not he, after he was struck, then let them go, and they departed?
"
6,"`And now, take and make one new cart, and two suckling kine, on which a yoke hath not gone up, and ye have bound the kine in the cart, and caused their young ones to turn back from after them to the house,
","and now, take a new cart, and two young kines, and you'll be on your way, and the kine will be on the cart, and the young ones will be on the cart, and they'll be on the way.","Now therefore take and make a new cart: and two kine that have calved, on which there hath come no yoke, tie to the cart, and shut up their calves at home.
"
7,"and ye have taken the ark of Jehovah, and put it on the cart, and the vessels of gold which ye have returned to Him -- a guilt-offering -- ye put in a coffer on its side, and have sent it away, and it hath gone;
","you took the ark of Jehovah, and you put it on the cart, and the gold vessels you took to God -- a sin-offering -- you took them to the cart.","And you shall take the ark of the Lord, and lay it on the cart, and the vessels of gold, which you have paid him for sin, you shall put into a little box, at the side thereof: and send it away that it may go.
"
8,"and ye have seen, if the way of its own border it goeth up to Beth-Shemesh -- He hath done to us this great evil; and if not, then we have known that His hand hath not come against us; an accident it hath been to us.'
","if the way of the border is going to Beth-Shemesh, then we know that He has done us a great evil; and if not, then we know that He hasn't done it to us.","And you shall look: and if it go up by the way of his own coasts towards Bethsames, then he hath done us this great evil: but if not, we shall know that it is not his hand hath touched us, but it hath happened by chance.
"
9,"And the men do so, and take two suckling kine, and bind them in the cart, and their young ones they have shut up in the house;
","they do it, and they take two suckers, and bind them to the cart, and they're in the house;","They did therefore in this manner: and taking two kine, that had suckling calves, they yoked them to the cart, and shut up their calves at home.
"
10,"and they place the ark of Jehovah upon the cart, and the coffer, and the golden mice, and the images of their emerods.
","they put the ark of God on the cart, the coffer, the golden mouse, the picture of the emerald.","And they laid the ark of God upon the cart, and the little box that had in it the golden mice and the likeness of the emerods.
"
