,original,paraphrase,output,output_reference
0,"Whilom, as olde stories tellen us,
","as the old stories tell us, the old man's story."," As the old stories tell us, the old man's tale.","Once, as old histories tell us,
"
1,"Ther was a duc that highte Theseus;
","the duchess was a duchess, and she was a duchess."," The duchess was a duchess, and she was a duchess.","There was a duke who was called Theseus;
"
2,"Of Atthenes he was lord and governour,
","he was a lord and commander of the army, and he was a commander of the army."," He was a lord and commander of the army, and he was a commander of the army.","He was lord and governor of Athens,
"
3,"And in his tyme swich a conquerour
","in his tyme, a conqueror of the king."," In his tyme, a conqueror of the king.","And in his time such a conqueror
"
4,"That gretter was ther noon under the sonne.
",Gretner was in the morning under the son of a woman., Gretner was in the morning in the morning under the son of a woman.,"That there was no one greater under the sun.
"
5,"Ful many a riche contree hadde he wonne;
",many a rich man had been robbed of his money;, Many rich men had been robbed of their money;,"Very many a powerful country had he won;
"
6,"What with his wysdom and his chivalrie,
","with his wysdom and his chivalry,"," With his wysdom and his chivalry,","What with his wisdom and his chivalry,
"
7,"He conquered al the regne of Femenye,
",he conquered the Femenye's regnal., He conquered the Femenye regnal.,"He conquered all the land of the Amazons,
"
8,"That whilom was ycleped Scithia,
","when he was a boy, he was a boy, he was a boy, he was a boy."," And when he was a boy, he was a boy, he was a boy, he was a boy, he was a boy, he was a boy, he was a boy, he was a boy, he was a boy, he was a boy, he was a boy, he was a boy, he was","That once was called Scithia,
"
9,"And weddede the queene Ypolita,
","the bride's bride, the bride's bride, the bride's bride, the bride's bride, the bride's bride, the..."," And the bride's bride, the bride's bride, the bride's bride, the bride's bride, the bride's bride, the...","And wedded the queen Ypolita,
"
10,"And broghte hire hoom with hym in his contree
",broghte hire a hoom in the yard of the house., Broghte hire a hoom in the yard of the house.,"And brought her home with him into his country
"
11,"With muchel glorie and greet solempnytee,
","the muchel glorie and the greet solempnye,"," The muchel glorie and the greet solempnye,","With much glory and great ceremony,
"
12,"And eek hir yonge suster Emelye.
",Eek hir yonge suster Emelye., Eek hir yonge suster Emelye.,"And also her young sister Emelye.
"
13,"And thus with victorie and with melodye
",and so with victoria and with melodye, And so with victoria and with melodye,"And thus with victory and with festivity
"
14,"Lete I this noble duc to Atthenes ryde,
","I'm honored to be honored by the noble duchess of Atthenes,
I'm honored to be honored by the noble..."," I am honored to be honored by the noble duchess of Atthenes,","I leave this noble duke riding to Athens,
"
15,"And al his hoost in armes hym bisyde.
","he was hoarse with hoofs, and hoofed hoofs."," He hoarsely hoofs, hoofs hoofs, hoofs hoofs, hoofs hoofs, hoofs, hoofs hoofs, hoofs hoofs, hoofs, hoofs hoofs, hoofs hoofs, hoofs, ho","And all his host in arms beside him.
"
16,"And certes, if it nere to long to heere,
","certes, if it's not long, it's not long."," certes, if it be not long, it is not long.","And certainly, if it were not too long to hear,
"
17,"I wolde have toold yow fully the manere
",I'd have to say that the mane is full of mane., I would have to say that the mane is full of mane.,"I would have told you fully the manner
"
18,"How wonnen was the regne of Femenye
",the Femenye was the regent of the Femenye., The Femenye was the regent of the Femenye.,"How the reign of Femenye was won
"
19,"By Theseus and by his chivalrye;
",by the chivalry of the Greeks and the Greeks;, By the chivalry of the Greeks and the Greeks;,"By Theseus and by his chivalry;
"
20,"And of the grete bataille for the nones
",of the grete bataille for the nones of the grete bataille, Of the grete bataille for nones of the grete bataille,"And of the great battle at that time
"
21,"Bitwixen Atthenes and Amazones;
",Amazone and Amazone Atthenes;, Amazone and Amazone Atthenes;,"Between Athenians and Amazons;
"
22,"And how asseged was Ypolita,
","how the Ypolita was stabbed by the knife, how the knife stabbed the knife, how the knife stabbed..."," How the Ypolita was stabbed by the knife, how the knife stabbed the knife, how the knife stabbed","And how Ypolita was besieged,
"
23,"The faire, hardy queene of Scithia;
","the faire, strong-willed woman of Scithia;"," The faire, strong-willed woman of Scithia;","The fair, bold queen of Scithia;
"
24,"And of the feste that was at hir weddynge,
","of the feast of the wedding feast, the wedding feast, the wedding feast, the wedding feast, the..."," Of the feast of the wedding feast, the wedding feast, the wedding feast, the","And of the festivity that was at their wedding,
"
25,"And of the tempest at hir hoom-comynge;
",of the storm at the hir-hir-hir-hir-hir-hir-hir-hir-h, of the storm at the hir-hir-hir-hir-hir-hir-hir-hir,"And of the storm at her home-coming;
"
26,"But al that thyng I moot as now forbere.
","I'm not gonna be able to do it now, but I'll be able to."," I can't do it now, but I'll be able to.","But all that matter I must now forgo.
"
27,"I have, God woot, a large feeld to ere,
","God bless you, I'm sure you'll be fine, I'm sure you'll be fine."," God bless thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray thee, I pray","I have, God knows, a large field to till,
"
28,"And wayke been the oxen in my plough.
",the oxen were in my plows., And the oxen were in my plows.,"And the oxen in my plow are weak.
"
29,"The remenant of the tale is long ynough.
","the story is long, but it's not long."," The story is long, but it is not long.","The remnant of the tale is long enough.
"
30,"I wol nat letten eek noon of this route;
",we're going down this way; we're going down the way; we're going down the way; we're going down the..., We are going down this way; we are going down the way; we are going down the way,"Also I will not hinder any one of this company;
"
31,"Lat every felawe telle his tale aboute,
","every felawe telle his tale of the tale,"," Every felawe telle his tale,","Let every fellow tell his tale in turn,
"
32,"And lat se now who shal the soper wynne;
",the soper wynne is now the soper wynne;, The soper wynne is now the soper wynne;,"And let's see now who shall win the supper;
"
33,"And ther I lefte, I wol ayeyn bigynne.
","I'm gonna go to the big house, I'm gonna go to the big house."," I'm gonna go to the big house, I'm gonna go to the big house","And where I left off, I will again begin.
"
34,"This duc, of whom I make mencioun,
","the duc, who's a man, who's a man, who's a man, who's a man, who's a man, who's a man,"," The duc, who is a man, who is a man, who is a man, who is a man, who is a man, who is a man, who is a man, who is a man, who is a","This duke, of whom I make mention,
"
35,"Whan he was come almoost unto the toun,
","when he was near the town, he came to the toun."," And when he was near the town, he came to the toun,","When he was come almost unto the town,
"
36,"In al his wele and in his mooste pride,
","in his pride and in his pride, he was proud of him."," And in his pride and in his pride, he was proud of him.","In all his prosperity and in his most pride,
"
37,"He was war, as he caste his eye aside,
","he looked away, and the war was over. He looked away, and the war was over. He looked away, and the..."," He looked away, and the war was over.","He was aware, as he cast his eye aside,
"
38,"Where that ther kneled in the heighe weye
",the heighe heighe heighe heighe heighe heighe heighe heighe heighe heighe heighe, Heighe heighe heighe heighe heighe heighe heighe heighe heighe,"Where there kneeled in the high way
"
39,"A compaignye of ladyes, tweye and tweye,
","a woman's compaignye, a woman's compaignye, a woman's compaignye, a woman's compaignye."," A woman's compaignye, a woman's compaignye, a woman's compâĢĻt, a woman's compâĢĻĻs compaignye, a womanâĢĻĻs compaignye, a womanâ�","A company of ladies, two by two,
"
40,"Ech after oother clad in clothes blake;
","after the other dressed in a dress, blake;"," After the other dressed in a dress, blake;","Each after another, clad in black clothes;
"
41,"But swich a cry and swich a wo they make
",they make a cry and they make a scream., They make a cry and make a scream.,"But such a cry and such a woeful (lament) they make
"
42,"That in this world nys creature lyvynge
","in this world, the nys creature Lyvynge is a nys creature."," In this world, the nys creature Lyvynge is a nys creature","That in this world is no living creature
"
43,"That herde swich another waymentynge;
",the other waymentynge is a swich;, The other waymentynge is a swich;,"That (ever) heard lamentation such as this;
"
44,"And of this cry they nolde nevere stenten
",they don't want to be stenten in this cry., They do not want to be stenten in this cry.,"And of this cry they would not ever stop
"
45,"Til they the reynes of his brydel henten.
","he was a brydel, and he was a brydel. He was a brydel. He was a brydel. He was a bry"," And he was a brydel, and a brydel.","Until they seized the reins of his bridle.
"
46,"""What folk been ye, that at myn hom-comynge
","what people have been there, what they were, what they were, what they were, what they were, what..."," What people have been there, what they have been, what they have been, what they have been, what they have been, what they are, what they are, what they are, what they are, what they are, what they are, what they are, what they are, what they are","""What folk are you, who at my homecoming
"
47,"Perturben so my feste with criynge?""
","""what do you mean, what do you mean, what do you mean, what do you mean, what do you mean, what do..."," ""What do you mean, what do you mean, what do you mean, what do you mean, what do you mean, what do ","So disturb my festival with crying?""
"
48,"Quod Theseus. ""Have ye so greet envye
","""hello, my dear, I'm glad you're here. ""Hello, my dear, I'm glad you're here. ""Hello, my dear, I'm"," "" Hello, my dear, I am glad you are here.","Said Theseus. ""Have you such great envy
"
49,"Of myn honour, that thus compleyne and crye?
",then why do you call me honor?, Then why do you call me honor?,"Of my honor, (you) who thus lament and cry?
"
50,"Or who hath yow mysboden or offended?
",who's gonna offend me or offend me?, Who shall offend me or offend me?,"Or who has injured or offended you?
"
51,"And telleth me if it may been amended,
","tell me if you want to change it, I'll change it."," Tell me if you want to change it, I'll change it.","And tell me if it may be remedied,
"
52,"And why that ye been clothed thus in blak.""
","why you're dressed like a brick in the face of the brick. """, Why you dress like a brick in the face of the brick.,"And why you are clothed thus in black.""
"
53,"The eldeste lady of them alle spak,
","the lady of the lady of the lady, the lady of the lady, the lady of the lady, the lady of the lady,..."," The lady of the lady, the lady of the lady, the lady of the lady, the lady of the lady, the lady of the lady, the lady of the lady, the lady of the lady, the lady of the lady, the lady of the lady, the lady","The eldest lady of them all spoke,
"
54,"Whan she hadde swowned with a deedly cheere,
","she was swooning with a deedly cheere, and she was trembling with fear."," She swooned with a deedly cheere, and trembled with fear.","After she had swooned with (so) deadly a countenance,
"
55,"That it was routhe for to seen and heere;
",he was a routhe for the sight and heere;, He was a routhe for the sight and his ear;,"That it was pitiful to see and hear;
"
56,"She seyde, ""Lord, to whom Fortune hath yiven
","""oh, my God, for whom Fortune has given me, Lord,"" said Seyda."," "" Oh, my God, for whom Fortune hath given me, Lord,","She said, ""Lord, to whom Fortune has given
"
57,"Victorie, and as a conqueror to lyven,
","as a conqueror of Lyven, and as a conqueror of Lyven,"," As a conqueror of Lyven, and as a conqueror of Lyven,","Victory, and (allowed) to live as a conqueror,
"
58,"Nat greveth us youre glorie and youre honour,
","you're a glorie and you're honor, you're a glorie, you're honor."," You are a glorie and you are honor, you are honor, you are honor","Your glory and your honor does not grieve us,
"
59,"But we biseken mercy and socour.
","we're sorry, but we're sorry, but we're sorry, but we're sorry."," We are sorry, but we are sorry, but we are sorry, but we are sorry, but we are sorry, but we are sorry, but we are sorry, but we are sorry, but we are sorry, but we are sorry, but we are sorry, but we are sorry, but we are sorry, but","But we beseech (you for) mercy and succor.
"
60,"Have mercy on oure wo and oure distresse!
","for the sake of mercy, oure wo and oure distresse!"," For the sake of mercy, oure wo and oure distresse!","Have mercy on our woe and our distress!
"
61,"Som drope of pitee, thurgh thy gentillesse,
","the pitee of pitee, thurgh the gentillesse, thurgh the gentillesse."," The pitee of pitee, thurgh the gentillesse, thurgh the gentillesse,","Some drop of pity, because of thy nobility,
"
62,"Upon us wrecched wommen lat thou falle,
","we have been robbed of our women's lateness, and we're not even getting a woman."," We have been robbed of our women lateness, and we are not even getting a woman.","Let thou fall upon us wretched women,
"
63,"For, certes, lord, ther is noon of us alle
","certes, sir, we're all here, all right, all right, all right, all right, all right, all right, all..."," certes, sir, we all here, all right, all right, all right, all right, all right, all...","For, certainly, lord, there is not one of us all
"
64,"That she ne hath been a duchesse or a queene.
",she was a duchess or a queen., She was a duchess or a queen.,"Who has not been a duchesse or a queen.
"
65,"Now be we caytyves, as it is wel seene,
","be we caytyves, as it's all over, as it's going to be,"," Be we caytyves, as it is all over, as it is going to be,","Now we are miserable wretches, as it is easily seen,
"
66,"Thanked be Fortune and hire false wheel,
","I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm sorry, but I'm"," I am sorry, but I am sorry, but I am","Thanks be to Fortune and her false wheel,
"
67,"That noon estaat assureth to be weel.
","it's a day of the day, so we're going to be a little busy."," It is a day of the day, so we are going to be a little busy","Who assures no estate (will continue) to be well.
"
68,"And certes, lord, to abyden youre presence,
","certes, sir, to keep your presence, sir."," certes, sir, to keep your presence, sir.","And certainly, lord, to await your presence,
"
69,"Heere in this temple of the goddesse Clemence
","in this temple of the Holy Clemence, you'll find the Holy Clemence."," In this temple of the Holy Clemence, ye shall find the Holy Clemence.","Here in this temple of the goddess Clemency
"
70,"We han ben waitynge al this fourtenyght.
",he's got a four-year-old in the four-year-old., He got a four-year-old in the four-year-old.,"We have been waiting all this fortnight.
"
71,"Now help us, lord, sith it is in thy myght.
","Sir, it's my pleasure, sir, that you're here."," Sir, it is my pleasure, sir, that you are here.","Now help us, lord, since it is in thy power.
"
72,"""I, wrecche, which that wepe and wayle thus,
","I, the wretch, who's so much like a wretch, and so much like a wretch, and so much like a wretch."," I, the wretch, who is so much like a wretch, and so much like a wretch, and so much like a wretch, and so much like a wretch.","""I, wretch, who weep and wail thus,
"
73,"Was whilom wyf to kyng Cappaneus,
","whilom wyf to kyng Cappaneus,"," Whilom wyf to kyng Cappaneus,","Was once wife to king Cappaneus,
"
74,"That starf at Thebes -- cursed be that day! --
",the starf of the Thebes -- the day of the curse! --, The starf of Thebes--the day of the curse!,"Who died at Thebes -- cursed be that day! --
"
75,"And alle we that been in this array
","all of us who were in the array, we were in the same place.", And all the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of the congregation of ,"And all of us who are in this condition
"
76,"And maken al this lamentacioun,
","maken al the lamentacioun, maken al the lamentacioun."," maken al the lamentacioun, maken al the lamentacioun.","And make all this lamentation,
"
77,"We losten alle oure housbondes at that toun,
","we lost the house in the village, the house in the village, the house in the village."," We lost the house in the village, the house in the village, the house in the village, the house in the village, the house in the village, the house in the village, the house in the village, the house in the village, the house in the village, the house in the village, the house in","We lost all our husbands at that town,
"
78,"Whil that the seege theraboute lay.
","when the seege theraboute lay, the watchers were waiting for him."," And when the seege theraboute lay,","While the siege lay around it.
"
79,"And yet now the olde Creon -- weylaway! --
",but now the old Creon -- weylaway! --, But now the old Creon--weylaway!,"And yet now the old Creon -- woe oh woe! --
"
80,"That lord is now of Thebes the citee,
",the king of Thebes is now the king of the world., The king of Thebes is now the king of the world.,"Who is now lord of the city of Thebes,
"
81,"Fulfild of ire and of iniquitee,
","furthermore, the fact that the whole of the world is in danger, the world is in danger, the world..."," Moreover, the fact that the whole world is in danger, the world is in danger, the world is in danger, the world is in danger, the world is in danger, the world is in danger, the world is in danger, the world is in danger, the world is in danger, the","Filled with anger and with iniquity,
"
82,"He, for despit and for his tirannye,
","for the destruction of the world, for the destruction of the world, for the destruction of the..."," For the destruction of the world, for the destruction of the world, for the...","He, for spite and for his tyranny,
"
83,"To do the dede bodyes vileynye
",the body of the dede is a vileynye., The body of the dede is a vileynye.,"To do dishonor to the dead bodies
"
84,"Of alle oure lordes whiche that been yslawe,
","the Lord of the Lordes, the one who is the Lord of the Lord, the one who is the Lord of the Lord."," And the LORD the one that is the LORD of the LORD, the one that is the LORD of the LORD, the one that is the LORD of the LORD, the one that is the LORD of the LORD.","Of all our lords who are slain,
"
85,"Hath alle the bodyes on an heep ydrawe,
","the body of the heifer is a heifer, the heifer is a heifer."," The body of the heifer is a heifer, the heifer is a heifer.","Has dragged all the bodies in a heap,
"
86,"And wol nat suffren hem, by noon assent,
","by noon's consent, he will be taken to the grave."," He will be taken to the grave, and he will be taken to the grave.","And will not allow them, not at all,
"
87,"Neither to been yburyed nor ybrent,
","no one ever had a ybrent, no one ever had a ybrent."," No one ever had a ybrent, no one ever had a ybrent","Neither to be buried nor burned,
"
88,"But maketh houndes ete them in despit.""
","""they're going to be killed by the maketh hounds."""," And they shall be slain by the maketh hounds, and they shall be slain by the maketh hounds.","But makes hounds eat them as an insult.""
"
89,"And with that word, withouten moore respit,
","withouten moore respit, withouten moore respit, withouten moore respit, withouten moore respit,..."," Withouten moore respit, withouten moore respit,","And with that word, without more delay,
"
90,"They fillen gruf and criden pitously,
","they're filling the pit with gruf and criden, and they're afraid of it."," They fill the pit with gruf and cren, and they are afraid of it.","They fell face down and cried piteously,
"
91,"""Have on us wrecched wommen som mercy,
",we will destroy the womens' mercy on us., We will destroy the womens' mercy on us.,"""Have some mercy on us wretched women,
"
92,"And lat oure sorwe synken in thyn herte.""
","""in the name of God, I'm sorry, but I'm sorry, but I'm sorry."""," "" In the name of God, I am sorry, but I am sorry, but I am sorry. ""","And let our sorrow sink in thy heart.""
"
93,"This gentil duc doun from his courser sterte
",gentil duc doun from the duchess's duchess., gentil duc doun from the duchess's duchess.,"This gentle duke leaped down from his war horse
"
94,"With herte pitous, whan he herde them speke.
","when he spoke, he was a little surprised, and he looked a little surprised."," And when he spoke, he was a little surprised, and looked a little surprised.","With compassionate heart, when he heard them speak.
"
95,"Hym thoughte that his herte wolde breke,
",but he was a little bit of a hiccup., But he was a little bit of a hiccup.,"It seemed to him that his heart would break,
"
96,"Whan he saugh hem so pitous and so maat,
","he was so pitiful and so sad, and he was so sad."," He was so pitiful and so sad, and he was so sad.","When he saw them so pitiful and so dejected,
"
97,"That whilom weren of so greet estaat;
","when they were so welcome, they were so welcome;"," And when they were so welcome, they were so welcome;","That once were of such high rank;
"
98,"And in his armes he hem alle up hente,
","he hem hemmed in his arms, and he was in his hands. He was in his hands, and he was in his hands...."," He hemmed in his arms, and he was in his arms.","And in his arms he caught up them all,
"
99,"And hem conforteth in ful good entente,
","he's a good man, he's a good man, he's a good man, he's a good man. He's a good man, he's a good"," He hath a good man, he hath a good man, he hath a good man, he hath a good man, he hath a good man, he hath a good man, he hath a good man, he hath a good man, he hath a good man","And comforts them with very good will,
"
100,"And swoor his ooth, as he was trewe knyght,
","as he was a great knave, he was a great knave."," As he was a great knave, he was a great knave.","And swore his oath, as he was true knight,
"
101,"He wolde doon so ferforthly his myght
",he would be myght for myght., He would be myght for his.,"(That) he would do his might so completely
"
102,"Upon the tiraunt Creon hem to wreke
",the tiraunt Creon's got a plan to destroy the Tiraunt Creon., The tiraunt Creon has a plan to destroy the Tiraunt Creon.,"To avenge them upon the tyrant Creon
"
103,"That al the peple of Grece sholde speke
",the Grece of Grece shal be speckled with the peple of Grece., The Grece shal be speckled with peple of Grece.,"That all the people of Greece should speak (about)
"
104,"How Creon was of Theseus yserved
",Cronus was a Creon of the Creon of the Creon of the Creon of the Creon of the Creon of the Creon of..., Cronus was a Creon of the Creon of the Creon of the Creon of the Creon of the Creon of the Creon of the,"How Creon was treated by Theseus
"
105,"As he that hadde his deeth ful wel deserved.
","he was a good man, and he deserved it. He was a good man, and he deserved it."," And he was a good man, and deserved it.","As one who had very well deserved his death.
"
106,"And right anoon, withouten moore abood,
","right anoon, withouten moore abood, withouten moore abood."," Right anoon, withouten moore abood,","And right away, without more delay,
"
107,"His baner he desplayeth, and forth rood
","the baner is hiding, and the rood is running."," The baner is hiding, and the rood is running.","He displays his banner, and rode forth
"
108,"To Thebes-ward, and al his hoost biside.
","thebes-ward, and the hoofs of the hoofs.", The hoofs of the hoofs.,"Toward Thebes, and all his army beside (him).
"
109,"No neer Atthenes wolde he go ne ride,
","neither Atthenes nor Atthenes wolde go,
neither Atthenes nor Atthenes wolde go."," Neither Atthenes nor Atthenes wolde go, neither Atthenes nor Atthenes wolde go.","He would not walk nor ride any nearer to Athens,
"
110,"Ne take his ese fully half a day,
",he's taking a full day to go. He'll be gone in half a day., He'll be gone in half a day.,"Nor take his ease fully half a day,
"
111,"But onward on his wey that nyght he lay,
","wey was on his back, and he lay on his back."," And lay on his back, and lay on his back.","But that night he lay (camped) on his way,
"
112,"And sente anon Ypolita the queene,
","the Queene of the Queene, the Queene of the Queene, the Queene of the Queene, the Queene of the..."," The Queene of the Queene, the Queene of the Queene, the Queene of the Queene, the Queene of the...","And sent straightway Ypolita the queen,
"
113,"And Emelye, hir yonge suster sheene,
","Emelye, the daughter of the king, shee, shee, shee, shee, shee, shee, shee, shee"," Emelye, the daughter of the king, shee, shee, shee, shee, shee, shee, shee, shee, shee, shee, shee, shee","And Emelye, her beautiful young sister,
"
114,"Unto the toun of Atthenes to dwelle,
","to the toun of Atthenes, the toun of Atthenes."," To the toun of Atthenes, the toun of Atthenes.","Unto the town of Athens to dwell,
"
115,"And forth he rit; ther is namoore to telle.
","he said, ""I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm..."," And said, IâĢĶâĶâĢĻâĢĻâĢĻâĢĻâĢĻâĢĻâĢĻâĢĻâ","And forth he rides; there is no more to tell.
"
116,"The rede statue of Mars, with spere and targe,
","the statue of Mars, with a spear and a spear, and a spear."," The statue of Mars, with a spear and a spear, and a spear.","The red statue of Mars, with spear and shield,
"
117,"So shyneth in his white baner large
","shyneth in the white-haired baner, large."," shyneth in the white-haired baner, large.","So shines in his large white banner
"
118,"That alle the feeldes glyteren up and doun;
",the feeldes glyteren is up and doun;, The feeldes glyteren is up and doun;,"That all the fields glitter all around;
"
119,"And by his baner born is his penoun
",by his banishment born is his penance., By his penance born is his penance.,"And by his banner is carried his pennon
"
120,"Of gold ful riche, in which ther was ybete
","gold-colored, with a gold-colored hue, with a gold-colored hue, with a gold-colored hue, with a..."," Gold-colored, with a gold-colored hue, with a gold-colored hue, with a...","Of very rich gold, in which there was embroidered
"
121,"The Mynotaur, which that he wan in Crete.
","the Mynotaur, which he was in Crete."," Mynotaur, which he was in Crete.","The Minotaur, which he defeated in Crete.
"
122,"Thus rit this duc, thus rit this conquerour,
","so that the duc is rit this conqueror, so that the duc is rit this conqueror.", So that the ducâĢĻs ducâĢĻs ducâĢĻs ducâĢĻs ducâĢĻs ducâĢĻs ducâĢĻs ducâ�,"Thus rides this duke, thus rides this conqueror,
"
123,"And in his hoost of chivalrie the flour,
",the flour in the hoost of the chivalric order., The flour in the hoost of the chivalric order.,"And in his army the flower of chivalry,
"
124,"Til that he cam to Thebes and alighte
","when he came to thebes, he was taken aback by the sudden appearance of the gate."," And when he came to thebes, he was taken aback by the sudden appearance of the gate.","Until he came to Thebes and dismounted
"
125,"Faire in a feeld, ther as he thoughte to fighte.
","he was fighting with a feeld, as if he were fighting."," He was fighting with a feeld, as if he were fighting.","Graciously in a field, where he intended to fight.
"
126,"But shortly for to speken of this thyng,
","soon after the speken of your own, your own, your own, your own, your own, your own, your own, your..."," Soon after the speken of your own, your own, your own, your own, your own, your own, your own, your...","But briefly to speak of this thing,
"
127,"With Creon, which that was of Thebes kyng,
","the king of Creon, which was the king of the Kyns,"," The king of Creon, which was the king of the Kyns,","With Creon, who was king of Thebes,
"
128,"He faught, and slough hym manly as a knyght
","he was a knave, and he was a knave, and he was a knave."," He was a knave, and he was a knave, and he was a knave, and he was a knave, and he was a knave, and he was a knave, and he was a knave, and he was a knave, and he was a knave, and he was","He fought, and slew him boldly as a knight
"
129,"In pleyn bataille, and putte the folk to flyght;
","the pleyn bataille, and the people fly;"," The pleyn bataille, and the people fly;","In open battle, and put the army to flight;
"
130,"And by assaut he wan the citee after,
","the citation was taken by the assaut, and he was taken aback."," And the assaut, and he was taken aback, and he was taken aback.","And by assault he won the city afterwards,
"
131,"And rente adoun bothe wall and sparre and rafter;
","the wall and the roof of the house, the roof and the roof;"," The wall and the roof of the house, the roof and the roof;","And tore down both wall and beam and rafter;
"
132,"And to the ladyes he restored agayn
",to the lady he restored the agayn., To the lady he restored the agayn.,"And he gave back to the ladies
"
133,"The bones of hir freendes that were slayn,
",the bones of the hir freendes that were killed., The bones of hir freendes that were slain.,"The bones of their husbands who were slain,
"
134,"To doon obsequies, as was tho the gyse.
","as was the gyse, as was the gyse."," As was the gyse, as was the gyse.","To do obsequies, as was then the custom.
"
135,"But it were al to longe for to devyse
","it's a long way to go, but it's worth it."," It is a long way to go, but it is worth it.","But it would be all too long to describe
"
136,"The grete clamour and the waymentynge
",the grete clamor and the waymentynge, The grete clamour and the waying,"The great clamor and the lamentation
"
137,"That the ladyes made at the brennynge
",the ladyes of Brennynge made the ladyes of Brennynge., The ladyes of Brennynge made the ladyes of Brennynge.,"That the ladies made at the burning
"
