,original,paraphrase,output,output_reference
0,"Once, as old histories tell us,
","as the old stories tell us, so the old stories tell us."," And as old tales tell us, so the old stories tell us","Whilom, as olde stories tellen us,
"
1,"There was a duke who was called Theseus;
","there was a duke called Theseus, who was called the Great."," There was a duke called Theseus, called the Great.","Ther was a duc that highte Theseus;
"
2,"He was lord and governor of Athens,
",he was the governor of Athens and the Greek government., He was the governor of Athens and the Greek government.,"Of Atthenes he was lord and governour,
"
3,"And in his time such a conqueror
","in his time, he was a conqueror of the world."," And in his time, he was a conqueror of the world.","And in his tyme swich a conquerour
"
4,"That there was no one greater under the sun.
",there's no one more powerful under the sun., There is no one more powerful than the sun.,"That gretter was ther noon under the sonne.
"
5,"Very many a powerful country had he won;
",he has won many powerful countries;, He has won many powerful countries;,"Ful many a riche contree hadde he wonne;
"
6,"What with his wisdom and his chivalry,
","with his wisdom and his bravery, he was able to defeat the enemy."," With his wisdom and his bravery, he was able to defeat the enemy.","What with his wysdom and his chivalrie,
"
7,"He conquered all the land of the Amazons,
",all the land of the Amazons have been conquered., All the land of the Amazons have been conquered.,"He conquered al the regne of Femenye,
"
8,"That once was called Scithia,
","it was called Scithia once, and then Scithia."," It was called Scithia, and then Scithia.","That whilom was ycleped Scithia,
"
9,"And wedded the queen Ypolita,
",the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the..., The Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the Queen of the...,"And weddede the queene Ypolita,
"
10,"And brought her home with him into his country
",he brought her home with him to his country., He brought her home with him to his country.,"And broghte hire hoom with hym in his contree
"
11,"With much glory and great ceremony,
","the great ceremony and great ceremony, the great ceremony and great ceremony, the great ceremony..."," The great ceremony and great ceremony and the great ceremony, the great ceremony and the great ceremony, the great ceremony and the great ceremony, the great ceremony and the great ceremony, the great ceremony and the great ceremony, the great ceremony and the great ceremony, the great ceremony and the great ceremony, the great ceremony and","With muchel glorie and greet solempnytee,
"
12,"And also her young sister Emelye.
","her sister Emelye, too, was a young woman."," Her sister Emelye, too, was young, and a young woman.","And eek hir yonge suster Emelye.
"
13,"And thus with victory and with festivity
",so that the victory is celebrated and the celebration is celebrated with joy., So that the victory is celebrated and the celebration is celebrated with joy.,"And thus with victorie and with melodye
"
14,"I leave this noble duke riding to Athens,
",I'm going to Athens with the noble duke., IâĢĻll go to Athens with the noble duke.,"Lete I this noble duc to Atthenes ryde,
"
15,"And all his host in arms beside him.
",all the host's arms were on him., All the host's arms were on him.,"And al his hoost in armes hym bisyde.
"
16,"And certainly, if it were not too long to hear,
","if it weren't for the fact that it's too long to hear, it would be too much."," If it weren't for the fact that it was too long to hear, it would be too much.","And certes, if it nere to long to heere,
"
17,"I would have told you fully the manner
",I'd say it's a complete and complete and complete and complete and complete and complete and..., I'd say it's a complete and complete and complete and complete and complete and...,"I wolde have toold yow fully the manere
"
18,"How the reign of Femenye was won
",the Femenye's reign has been won by the Femenye., The Femenye reigneth by the Femenye.,"How wonnen was the regne of Femenye
"
19,"By Theseus and by his chivalry;
",by the virtue of the virtues of the virtues of the virtues;, By virtue of the virtues of the virtues of the virtues;,"By Theseus and by his chivalrye;
"
20,"And of the great battle at that time
",of the great battle of the time., Of the great battle of the time.,"And of the grete bataille for the nones
"
21,"Between Athenians and Amazons;
",the Athenians and the Amazons;, Athenians and the Amazons;,"Bitwixen Atthenes and Amazones;
"
22,"And how Ypolita was besieged,
","how the Ypolita was besieged by the Ypolita,"," How the Ypolita was besieged by the Ypolita,","And how asseged was Ypolita,
"
23,"The fair, bold queen of Scithia;
","the fair, bold queen of Scithia;"," Fair, bold queen of Scithia;","The faire, hardy queene of Scithia;
"
