,Original,Paraphrased,Modern
0,"Whilom, as olde stories tellen us,
","as the old stories tell us, the old man's story.","Once, as old histories tell us,
"
1,"Ther was a duc that highte Theseus;
","the duchess was a duchess, and she was a duchess.","There was a duke who was called Theseus;
"
2,"Of Atthenes he was lord and governour,
","he was a lord and commander of the army, and he was a commander of the army.","He was lord and governor of Athens,
"
3,"And in his tyme swich a conquerour
","in his tyme, a conqueror of the king.","And in his time such a conqueror
"
4,"That gretter was ther noon under the sonne.
",Gretner was in the morning under the son of a woman.,"That there was no one greater under the sun.
"
5,"Ful many a riche contree hadde he wonne;
",many a rich man had been robbed of his money;,"Very many a powerful country had he won;
"
6,"What with his wysdom and his chivalrie,
","with his wysdom and his chivalry,","What with his wisdom and his chivalry,
"
7,"He conquered al the regne of Femenye,
",he conquered the Femenye's regnal.,"He conquered all the land of the Amazons,
"
8,"That whilom was ycleped Scithia,
","when he was a boy, he was a boy, he was a boy, he was a boy.","That once was called Scithia,
"
9,"And weddede the queene Ypolita,
","the bride's bride, the bride's bride, the bride's bride, the bride's bride, the bride's bride, the bride's bride,","And wedded the queen Ypolita,
"
10,"And broghte hire hoom with hym in his contree
",broghte hire a hoom in the yard of the house.,"And brought her home with him into his country
"
11,"With muchel glorie and greet solempnytee,
","the muchel glorie and the greet solempnye,","With much glory and great ceremony,
"
12,"And eek hir yonge suster Emelye.
",Eek hir yonge suster Emelye.,"And also her young sister Emelye.
"
13,"And thus with victorie and with melodye
",and so with victoria and with melodye,"And thus with victory and with festivity
"
14,"Lete I this noble duc to Atthenes ryde,
","I'm honored to be honored by the noble duchess of Atthenes,
I'm honored to be honored by the noble duchess","I leave this noble duke riding to Athens,
"
15,"And al his hoost in armes hym bisyde.
","he was hoarse with hoofs, and hoofed hoofs.","And all his host in arms beside him.
"
16,"And certes, if it nere to long to heere,
","certes, if it's not long, it's not long.","And certainly, if it were not too long to hear,
"
17,"I wolde have toold yow fully the manere
",I'd have to say that the mane is full of mane.,"I would have told you fully the manner
"
18,"How wonnen was the regne of Femenye
",the Femenye was the regent of the Femenye.,"How the reign of Femenye was won
"
19,"By Theseus and by his chivalrye;
",by the chivalry of the Greeks and the Greeks;,"By Theseus and by his chivalry;
"
20,"And of the grete bataille for the nones
",of the grete bataille for the nones of the grete bataille,"And of the great battle at that time
"
21,"Bitwixen Atthenes and Amazones;
",Amazone and Amazone Atthenes;,"Between Athenians and Amazons;
"
22,"And how asseged was Ypolita,
","how the Ypolita was stabbed by the knife, how the knife stabbed the knife, how the knife stabbed the knife.","And how Ypolita was besieged,
"
23,"The faire, hardy queene of Scithia;
","the faire, strong-willed woman of Scithia;","The fair, bold queen of Scithia;
"
24,"And of the feste that was at hir weddynge,
","of the feast of the wedding feast, the wedding feast, the wedding feast, the wedding feast, the wedding feast, the wedding feast, the wedding","And of the festivity that was at their wedding,
"
25,"And of the tempest at hir hoom-comynge;
",of the storm at the hir-hir-hir-hir-hir-hir-hir-hir-h,"And of the storm at her home-coming;
"
26,"But al that thyng I moot as now forbere.
","I'm not gonna be able to do it now, but I'll be able to.","But all that matter I must now forgo.
"
27,"I have, God woot, a large feeld to ere,
","God bless you, I'm sure you'll be fine, I'm sure you'll be fine.","I have, God knows, a large field to till,
"
28,"And wayke been the oxen in my plough.
",the oxen were in my plows.,"And the oxen in my plow are weak.
"
29,"The remenant of the tale is long ynough.
","the story is long, but it's not long.","The remnant of the tale is long enough.
"
30,"I wol nat letten eek noon of this route;
",we're going down this way; we're going down the way; we're going down the way; we're going down the way; we're,"Also I will not hinder any one of this company;
"
31,"Lat every felawe telle his tale aboute,
","every felawe telle his tale of the tale,","Let every fellow tell his tale in turn,
"
32,"And lat se now who shal the soper wynne;
",the soper wynne is now the soper wynne;,"And let's see now who shall win the supper;
"
33,"And ther I lefte, I wol ayeyn bigynne.
","I'm gonna go to the big house, I'm gonna go to the big house.","And where I left off, I will again begin.
"
34,"This duc, of whom I make mencioun,
","the duc, who's a man, who's a man, who's a man, who's a man, who's a man, who's a man,","This duke, of whom I make mention,
"
35,"Whan he was come almoost unto the toun,
","when he was near the town, he came to the toun.","When he was come almost unto the town,
"
36,"In al his wele and in his mooste pride,
","in his pride and in his pride, he was proud of him.","In all his prosperity and in his most pride,
"
37,"He was war, as he caste his eye aside,
","he looked away, and the war was over. He looked away, and the war was over. He looked away, and the war was over. He looked away,","He was aware, as he cast his eye aside,
"
38,"Where that ther kneled in the heighe weye
",the heighe heighe heighe heighe heighe heighe heighe heighe heighe heighe heighe,"Where there kneeled in the high way
"
39,"A compaignye of ladyes, tweye and tweye,
","a woman's compaignye, a woman's compaignye, a woman's compaignye, a woman's compaignye.","A company of ladies, two by two,
"
40,"Ech after oother clad in clothes blake;
","after the other dressed in a dress, blake;","Each after another, clad in black clothes;
"
41,"But swich a cry and swich a wo they make
",they make a cry and they make a scream.,"But such a cry and such a woeful (lament) they make
"
42,"That in this world nys creature lyvynge
","in this world, the nys creature Lyvynge is a nys creature.","That in this world is no living creature
"
43,"That herde swich another waymentynge;
",the other waymentynge is a swich;,"That (ever) heard lamentation such as this;
"
44,"And of this cry they nolde nevere stenten
",they don't want to be stenten in this cry.,"And of this cry they would not ever stop
"
45,"Til they the reynes of his brydel henten.
","he was a brydel, and he was a brydel. He was a brydel. He was a brydel. He was a bry","Until they seized the reins of his bridle.
"
46,"""What folk been ye, that at myn hom-comynge
","what people have been there, what they were, what they were, what they were, what they were, what they were, what they were, what they were,","""What folk are you, who at my homecoming
"
47,"Perturben so my feste with criynge?""
","""what do you mean, what do you mean, what do you mean, what do you mean, what do you mean, what do you mean, what do you","So disturb my festival with crying?""
"
48,"Quod Theseus. ""Have ye so greet envye
","""hello, my dear, I'm glad you're here. ""Hello, my dear, I'm glad you're here. ""Hello, my dear, I'm","Said Theseus. ""Have you such great envy
"
49,"Of myn honour, that thus compleyne and crye?
",then why do you call me honor?,"Of my honor, (you) who thus lament and cry?
"
50,"Or who hath yow mysboden or offended?
",who's gonna offend me or offend me?,"Or who has injured or offended you?
"
51,"And telleth me if it may been amended,
","tell me if you want to change it, I'll change it.","And tell me if it may be remedied,
"
