,text
0,"﻿      The Trojans, after a seven years’ voyage, set sail for Italy, but"
1,"are overtaken by a dreadful storm, which Aeolus raises at the"
2,"request of Juno. The tempest sinks one, and scatters the rest."
3,"Neptune drives off the winds, and calms the sea. Aeneas, with his"
4,"own ship and six more, arrives safe at an African port. Venus"
5,complains to Jupiter of her son’s misfortunes. Jupiter comforts
6,"her, and sends Mercury to procure him a kind reception among the"
7,"Carthaginians. Aeneas, going out to discover the country, meets"
8,"his mother in the shape of a huntress, who conveys him in a cloud"
9,"to Carthage, where he sees his friends whom he thought lost, and"
10,"receives a kind entertainment from the queen. Dido, by device of"
11,"Venus, begins to have a passion for him, and, after some"
12,"discourse with him, desires the history of his adventures since"
13,"the siege of Troy, which is the subject of the two following"
14,books.
15,"Arms, and the man I sing, who, forc’d by fate,"
16,"And haughty Juno’s unrelenting hate,"
17,"Expell’d and exil’d, left the Trojan shore."
18,"Long labours, both by sea and land, he bore,"
19,"And in the doubtful war, before he won"
20,"The Latian realm, and built the destin’d town;"
21,"His banish’d gods restor’d to rites divine,"
22,"And settled sure succession in his line,"
23,"From whence the race of Alban fathers come,"
24,And the long glories of majestic Rome.
25,O Muse! the causes and the crimes relate;
26,"What goddess was provok’d, and whence her hate;"
27,For what offence the Queen of Heav’n began
28,"To persecute so brave, so just a man;"
29,"Involv’d his anxious life in endless cares,"
30,"Expos’d to wants, and hurried into wars!"
31,"Can heav’nly minds such high resentment show,"
32,Or exercise their spite in human woe?
33,"Against the Tiber’s mouth, but far away,"
34,An ancient town was seated on the sea;
35,A Tyrian colony; the people made
36,"Stout for the war, and studious of their trade:"
37,Carthage the name; belov’d by Juno more
38,"Than her own Argos, or the Samian shore."
39,"Here stood her chariot; here, if Heav’n were kind,"
40,The seat of awful empire she design’d.
41,"Yet she had heard an ancient rumour fly,"
42,"(Long cited by the people of the sky,)"
43,That times to come should see the Trojan race
44,"Her Carthage ruin, and her tow’rs deface;"
45,"Nor thus confin’d, the yoke of sov’reign sway"
46,Should on the necks of all the nations lay.
47,"She ponder’d this, and fear’d it was in fate;"
48,Nor could forget the war she wag’d of late
49,For conqu’ring Greece against the Trojan state.
50,"Besides, long causes working in her mind,"
51,"And secret seeds of envy, lay behind;"
52,Deep graven in her heart the doom remain’d
53,"Of partial Paris, and her form disdain’d;"
54,"The grace bestow’d on ravish’d Ganymed,"
55,"Electra’s glories, and her injur’d bed."
56,Each was a cause alone; and all combin’d
57,To kindle vengeance in her haughty mind.
58,"For this, far distant from the Latian coast"
59,She drove the remnants of the Trojan host;
60,And sev’n long years th’ unhappy wand’ring train
61,"Were toss’d by storms, and scatter’d thro’ the main."
62,"Such time, such toil, requir’d the Roman name,"
63,Such length of labour for so vast a frame.
64,"Now scarce the Trojan fleet, with sails and oars,"
65,"Had left behind the fair Sicilian shores,"
66,"Ent’ring with cheerful shouts the wat’ry reign,"
67,And plowing frothy furrows in the main;
68,"When, lab’ring still with endless discontent,"
69,The Queen of Heav’n did thus her fury vent:
70,"“Then am I vanquish’d? must I yield?” said she,"
71,“And must the Trojans reign in Italy?
72,"So Fate will have it, and Jove adds his force;"
73,Nor can my pow’r divert their happy course.
74,"Could angry Pallas, with revengeful spleen,"
75,"The Grecian navy burn, and drown the men?"
76,"She, for the fault of one offending foe,"
77,The bolts of Jove himself presum’d to throw:
78,"With whirlwinds from beneath she toss’d the ship,"
79,And bare expos’d the bosom of the deep;
80,"Then, as an eagle gripes the trembling game,"
81,"The wretch, yet hissing with her father’s flame,"
82,"She strongly seiz’d, and with a burning wound"
83,"Transfix’d, and naked, on a rock she bound."
84,"But I, who walk in awful state above,"
85,"The majesty of heav’n, the sister wife of Jove,"
86,For length of years my fruitless force employ
87,Against the thin remains of ruin’d Troy!
88,"What nations now to Juno’s pow’r will pray,"
89,Or off’rings on my slighted altars lay?”
90,"Thus rag’d the goddess; and, with fury fraught."
91,"The restless regions of the storms she sought,"
92,"Where, in a spacious cave of living stone,"
93,"The tyrant Aeolus, from his airy throne,"
94,"With pow’r imperial curbs the struggling winds,"
95,And sounding tempests in dark prisons binds.
96,"This way and that th’ impatient captives tend,"
97,"And, pressing for release, the mountains rend."
98,"High in his hall th’ undaunted monarch stands,"
99,"And shakes his scepter, and their rage commands;"
100,"Which did he not, their unresisted sway"
101,Would sweep the world before them in their way;
102,"Earth, air, and seas thro’ empty space would roll,"
103,And heav’n would fly before the driving soul.
104,"In fear of this, the Father of the Gods"
105,"Confin’d their fury to those dark abodes,"
106,"And lock’d ’em safe within, oppress’d with mountain loads;"
107,"Impos’d a king, with arbitrary sway,"
108,"To loose their fetters, or their force allay."
109,"To whom the suppliant queen her pray’rs address’d,"
110,And thus the tenor of her suit express’d:
111,“O Aeolus! for to thee the King of Heav’n
112,The pow’r of tempests and of winds has giv’n;
113,"Thy force alone their fury can restrain,"
114,"And smooth the waves, or swell the troubled main."
115,"A race of wand’ring slaves, abhorr’d by me,"
116,With prosp’rous passage cut the Tuscan sea;
117,"To fruitful Italy their course they steer,"
118,And for their vanquish’d gods design new temples there.
119,Raise all thy winds; with night involve the skies;
120,Sink or disperse my fatal enemies.
121,"Twice sev’n, the charming daughters of the main,"
122,"Around my person wait, and bear my train:"
123,"Succeed my wish, and second my design;"
124,"The fairest, Deiopeia, shall be thine,"
125,And make thee father of a happy line.”
126,"To this the god: “’Tis yours, O queen, to will"
127,The work which duty binds me to fulfil.
128,"These airy kingdoms, and this wide command,"
129,Are all the presents of your bounteous hand:
130,"Yours is my sov’reign’s grace; and, as your guest,"
131,I sit with gods at their celestial feast;
132,"Raise tempests at your pleasure, or subdue;"
133,"Dispose of empire, which I hold from you.”"
134,"He said, and hurl’d against the mountain side"
135,"His quiv’ring spear, and all the god applied."
136,"The raging winds rush thro’ the hollow wound,"
137,"And dance aloft in air, and skim along the ground;"
138,"Then, settling on the sea, the surges sweep,"
139,"Raise liquid mountains, and disclose the deep."
140,"South, East, and West with mix’d confusion roar,"
141,And roll the foaming billows to the shore.
142,The cables crack; the sailors’ fearful cries
143,Ascend; and sable night involves the skies;
144,And heav’n itself is ravish’d from their eyes.
145,Loud peals of thunder from the poles ensue;
146,Then flashing fires the transient light renew;
147,"The face of things a frightful image bears,"
148,And present death in various forms appears.
149,"Struck with unusual fright, the Trojan chief,"
150,"With lifted hands and eyes, invokes relief;"
151,"And, “Thrice and four times happy those,” he cried,"
152,“That under Ilian walls before their parents died!
153,"Tydides, bravest of the Grecian train!"
154,"Why could not I by that strong arm be slain,"
155,"And lie by noble Hector on the plain,"
156,"Or great Sarpedon, in those bloody fields"
157,Where Simois rolls the bodies and the shields
158,"Of heroes, whose dismember’d hands yet bear"
159,"The dart aloft, and clench the pointed spear!”"
160,"Thus while the pious prince his fate bewails,"
161,"Fierce Boreas drove against his flying sails,"
162,"And rent the sheets; the raging billows rise,"
163,And mount the tossing vessels to the skies:
164,Nor can the shiv’ring oars sustain the blow;
165,"The galley gives her side, and turns her prow;"
166,"While those astern, descending down the steep,"
167,Thro’ gaping waves behold the boiling deep.
168,"Three ships were hurried by the southern blast,"
169,And on the secret shelves with fury cast.
170,Those hidden rocks th’ Ausonian sailors knew:
171,"They call’d them Altars, when they rose in view,"
172,And show’d their spacious backs above the flood.
173,"Three more fierce Eurus, in his angry mood,"
174,"Dash’d on the shallows of the moving sand,"
175,And in mid ocean left them moor’d a-land.
176,"Orontes’ bark, that bore the Lycian crew,"
177,"(A horrid sight!) ev’n in the hero’s view,"
178,From stem to stern by waves was overborne:
179,"The trembling pilot, from his rudder torn,"
180,"Was headlong hurl’d; thrice round the ship was toss’d,"
181,"Then bulg’d at once, and in the deep was lost;"
182,And here and there above the waves were seen
183,"Arms, pictures, precious goods, and floating men."
184,"The stoutest vessel to the storm gave way,"
185,And suck’d thro’ loosen’d planks the rushing sea.
186,"Ilioneus was her chief: Alethes old,"
187,"Achates faithful, Abas young and bold,"
188,"Endur’d not less; their ships, with gaping seams,"
189,Admit the deluge of the briny streams.
190,Meantime imperial Neptune heard the sound
191,Of raging billows breaking on the ground.
192,"Displeas’d, and fearing for his wat’ry reign,"
193,"He rear’d his awful head above the main,"
194,Serene in majesty; then roll’d his eyes
195,"Around the space of earth, and seas, and skies."
196,"He saw the Trojan fleet dispers’d, distress’d,"
197,By stormy winds and wintry heav’n oppress’d.
198,"Full well the god his sister’s envy knew,"
199,And what her aims and what her arts pursue.
200,"He summon’d Eurus and the western blast,"
201,And first an angry glance on both he cast;
202,Then thus rebuk’d: “Audacious winds! from whence
203,"This bold attempt, this rebel insolence?"
204,"Is it for you to ravage seas and land,"
205,Unauthoriz’d by my supreme command?
206,To raise such mountains on the troubled main?
207,Whom I—but first ’tis fit the billows to restrain;
208,And then you shall be taught obedience to my reign.
209,"Hence! to your lord my royal mandate bear,"
210,The realms of ocean and the fields of air
211,"Are mine, not his. By fatal lot to me"
212,"The liquid empire fell, and trident of the sea."
213,His pow’r to hollow caverns is confin’d:
214,"There let him reign, the jailer of the wind,"
215,"With hoarse commands his breathing subjects call,"
216,And boast and bluster in his empty hall.”
217,"He spoke; and, while he spoke, he smooth’d the sea,"
218,"Dispell’d the darkness, and restor’d the day."
219,"Cymothoe, Triton, and the sea-green train"
220,"Of beauteous nymphs, the daughters of the main,"
221,Clear from the rocks the vessels with their hands:
222,"The god himself with ready trident stands,"
223,"And opes the deep, and spreads the moving sands;"
224,Then heaves them off the shoals. Where’er he guides
225,"His finny coursers and in triumph rides,"
226,The waves unruffle and the sea subsides.
227,"As, when in tumults rise th’ ignoble crowd,"
